City,Lat,Lng,Country,Temperature_max(F),Humidity(%),Cloudness(%),Wind speed(m/h),Date
ushuaia,-54.8,-68.3,AR,48.2,87.0,0.0,9.17,2020-11-03 02:07:16
pemberton,50.32,-122.8,CA,46.4,93.0,29.0,4.9,2020-11-03 02:07:33
bredasdorp,-34.53,20.04,ZA,64.4,88.0,98.0,11.41,2020-11-03 02:07:33
berezovyy,51.67,135.7,RU,31.89,91.0,100.0,2.35,2020-11-03 02:07:34
hobart,-42.88,147.33,AU,82.99,36.0,0.0,10.29,2020-11-03 02:05:52
upernavik,72.79,-56.15,GL,16.38,91.0,95.0,7.49,2020-11-03 02:07:34
jieshi,22.81,115.83,CN,73.0,68.0,61.0,3.0,2020-11-03 02:07:34
hilo,19.73,-155.09,US,82.4,69.0,90.0,6.93,2020-11-03 02:02:42
puerto ayora,-0.74,-90.35,EC,69.01,96.0,96.0,5.99,2020-11-03 02:07:35
saint-philippe,-21.36,55.77,RE,68.0,60.0,75.0,6.93,2020-11-03 02:07:35
mae hong son,19.3,97.97,TH,75.2,94.0,75.0,0.43,2020-11-03 02:07:35
townsville,-19.25,146.8,AU,87.8,55.0,20.0,20.8,2020-11-03 02:07:35
ploemeur,47.73,-3.43,FR,52.0,87.0,73.0,18.34,2020-11-03 02:07:35
rikitea,-23.12,-134.97,PF,71.87,80.0,10.0,17.49,2020-11-03 02:07:36
elizabeth city,36.29,-76.25,US,44.6,52.0,1.0,4.7,2020-11-03 02:07:36
mehamn,71.04,27.85,NO,42.31,85.0,74.0,19.06,2020-11-03 02:07:36
qandala,11.47,49.87,SO,77.83,77.0,51.0,7.85,2020-11-03 02:07:36
aguimes,27.91,-15.45,ES,71.6,68.0,75.0,16.11,2020-11-03 02:07:36
necochea,-38.55,-58.74,AR,59.0,72.0,0.0,8.99,2020-11-03 02:07:36
new norfolk,-42.78,147.06,AU,82.99,17.0,83.0,5.01,2020-11-03 02:07:37
xuanhua,40.61,115.04,CN,39.18,55.0,0.0,12.93,2020-11-03 02:07:37
mataura,-46.19,168.86,NZ,67.73,37.0,0.0,4.76,2020-11-03 02:07:37
port alfred,-33.59,26.89,ZA,65.5,86.0,2.0,17.74,2020-11-03 02:07:37
guanica,17.97,-66.91,PR,77.0,92.0,100.0,13.02,2020-11-03 02:02:55
tiksi,71.69,128.87,RU,4.59,93.0,100.0,2.51,2020-11-03 02:07:37
tuktoyaktuk,69.45,-133.04,CA,5.0,84.0,75.0,10.29,2020-11-03 02:07:38
yellowknife,62.46,-114.35,CA,10.4,85.0,90.0,10.29,2020-11-03 02:07:38
punta arenas,-53.15,-70.92,CL,50.0,53.0,0.0,4.7,2020-11-03 02:07:38
vardo,70.37,31.11,NO,45.84,80.0,96.0,33.51,2020-11-03 02:03:07
norman wells,65.28,-126.83,CA,8.6,92.0,90.0,2.24,2020-11-03 02:07:38
key west,24.56,-81.78,US,77.0,65.0,75.0,19.46,2020-11-03 02:07:11
esperance,-33.87,121.9,AU,59.0,100.0,75.0,17.22,2020-11-03 02:07:39
airai,-8.93,125.41,TL,79.61,36.0,92.0,4.97,2020-11-03 02:07:39
kavaratti,10.57,72.64,IN,82.17,70.0,0.0,5.77,2020-11-03 02:07:39
ulaangom,49.98,92.07,MN,27.95,94.0,99.0,1.34,2020-11-03 02:07:39
sao filipe,14.9,-24.5,CV,80.46,57.0,88.0,5.08,2020-11-03 02:07:39
sakaiminato,35.55,133.23,JP,59.0,82.0,40.0,8.05,2020-11-03 02:07:40
mahebourg,-20.41,57.7,MU,71.6,73.0,75.0,10.29,2020-11-03 02:07:40
abakaliki,6.32,8.12,NG,77.0,94.0,20.0,3.29,2020-11-03 02:07:40
ilulissat,69.22,-51.1,GL,19.4,57.0,100.0,27.51,2020-11-03 02:06:06
coquimbo,-29.95,-71.34,CL,53.6,87.0,9.0,4.7,2020-11-03 02:07:20
buchanan,5.88,-10.05,LR,77.22,88.0,0.0,4.16,2020-11-03 02:07:40
turukhansk,65.82,87.98,RU,15.85,97.0,100.0,9.93,2020-11-03 02:07:41
la ronge,55.1,-105.28,CA,39.2,69.0,0.0,2.24,2020-11-03 02:03:06
bluff,-46.6,168.33,NZ,52.97,67.0,0.0,5.03,2020-11-03 02:07:41
paracuru,-3.41,-39.03,BR,81.0,77.0,0.0,15.99,2020-11-03 02:07:41
northam,51.03,-4.22,GB,46.0,92.0,100.0,1.99,2020-11-03 02:02:13
srednekolymsk,67.45,153.68,RU,-5.15,88.0,0.0,6.42,2020-11-03 02:07:41
san patricio,28.02,-97.52,US,66.0,88.0,1.0,3.36,2020-11-03 02:07:42
busselton,-33.65,115.33,AU,63.0,79.0,68.0,5.01,2020-11-03 02:07:42
pitimbu,-7.47,-34.81,BR,78.8,83.0,20.0,6.93,2020-11-03 02:07:42
banda aceh,5.56,95.32,ID,82.83,72.0,61.0,4.41,2020-11-03 02:07:42
lagoa,39.05,-27.98,PT,62.26,63.0,100.0,13.65,2020-11-03 02:07:42
san quintin,30.48,-115.95,MX,65.55,81.0,0.0,8.19,2020-11-03 02:07:43
kapaa,22.08,-159.32,US,82.4,74.0,20.0,5.82,2020-11-03 02:07:43
chuy,-33.7,-53.46,UY,56.39,92.0,0.0,6.31,2020-11-03 02:07:43
carnarvon,-24.87,113.63,AU,73.4,43.0,1.0,18.34,2020-11-03 02:07:43
hithadhoo,-0.6,73.08,MV,83.25,71.0,100.0,7.96,2020-11-03 02:07:43
tuatapere,-46.13,167.68,NZ,58.33,56.0,0.0,6.29,2020-11-03 02:07:44
saskylakh,71.92,114.08,RU,9.45,95.0,100.0,8.75,2020-11-03 02:07:44
sinnamary,5.38,-52.95,GF,77.63,87.0,84.0,9.01,2020-11-03 02:07:44
thompson,55.74,-97.86,CA,21.2,92.0,90.0,9.17,2020-11-03 02:07:44
cidreira,-30.18,-50.21,BR,62.2,76.0,4.0,6.55,2020-11-03 02:07:44
pisco,-13.7,-76.22,PE,64.99,82.0,90.0,11.41,2020-11-03 02:07:44
huarmey,-10.07,-78.15,PE,60.62,84.0,84.0,5.73,2020-11-03 02:07:45
albany,42.6,-73.97,US,36.0,68.0,98.0,5.57,2020-11-03 02:07:45
lake charles,30.21,-93.2,US,57.2,47.0,5.0,5.82,2020-11-03 02:07:45
olot,42.18,2.49,ES,55.0,95.0,1.0,1.99,2020-11-03 02:07:45
hamilton,39.18,-84.53,US,42.01,35.0,75.0,8.05,2020-11-03 02:00:11
dikson,73.51,80.55,RU,14.11,94.0,99.0,11.01,2020-11-03 02:07:45
barranca,-10.75,-77.77,PE,59.38,87.0,48.0,3.31,2020-11-03 02:07:46
cherskiy,68.75,161.3,RU,-4.0,90.0,100.0,9.51,2020-11-03 02:07:46
canmore,51.08,-115.35,CA,59.0,29.0,92.0,10.29,2020-11-03 02:07:46
leningradskiy,69.38,178.42,RU,16.48,91.0,100.0,20.76,2020-11-03 02:07:46
yulara,-25.24,130.99,AU,95.0,12.0,0.0,13.87,2020-11-03 02:07:46
adre,13.47,22.2,TD,74.46,29.0,7.0,16.22,2020-11-03 02:07:46
ballina,-28.87,153.57,AU,73.99,60.0,75.0,18.34,2020-11-03 02:07:47
grindavik,63.84,-22.43,IS,41.0,86.0,75.0,21.92,2020-11-03 02:07:47
luderitz,-26.65,15.16,NA,60.35,83.0,14.0,7.0,2020-11-03 02:03:30
johi,26.69,67.61,PK,68.54,22.0,0.0,2.93,2020-11-03 02:07:47
belmonte,-15.86,-38.88,BR,69.8,88.0,90.0,8.05,2020-11-03 02:07:47
bambous virieux,-20.34,57.76,MU,71.6,73.0,75.0,10.29,2020-11-03 02:07:47
kloulklubed,7.04,134.26,PW,86.0,74.0,75.0,8.05,2020-11-03 02:07:48
barcelos,41.54,-8.62,PT,53.6,81.0,0.0,9.17,2020-11-03 02:07:48
tautira,-17.73,-149.15,PF,84.2,70.0,20.0,21.92,2020-11-03 02:07:48
atuona,-9.8,-139.03,PF,77.95,73.0,1.0,17.38,2020-11-03 02:07:48
hambantota,6.12,81.12,LK,78.8,100.0,90.0,1.54,2020-11-03 02:07:48
vaini,-21.2,-175.2,TO,77.0,88.0,75.0,11.41,2020-11-03 02:07:48
avarua,-21.21,-159.78,CK,75.2,69.0,100.0,24.16,2020-11-03 02:07:49
marsa matruh,31.35,27.25,EG,62.6,88.0,40.0,6.93,2020-11-03 02:07:49
touros,-5.2,-35.46,BR,78.8,83.0,40.0,4.7,2020-11-03 02:04:48
haines junction,60.75,-137.51,CA,5.0,60.0,100.0,8.05,2020-11-03 02:07:49
gaeta,41.22,13.56,IT,55.0,83.0,42.0,1.01,2020-11-03 02:07:49
salym,60.06,71.48,RU,20.57,98.0,14.0,5.12,2020-11-03 02:07:49
hasaki,35.73,140.83,JP,61.0,100.0,75.0,6.93,2020-11-03 02:07:50
comodoro rivadavia,-45.87,-67.5,AR,59.0,82.0,100.0,3.36,2020-11-03 02:07:50
chicama,-7.84,-79.15,PE,61.43,83.0,87.0,5.06,2020-11-03 02:07:50
khatanga,71.97,102.5,RU,8.22,95.0,100.0,7.74,2020-11-03 02:07:50
port lincoln,-34.73,135.87,AU,79.05,30.0,100.0,11.14,2020-11-03 02:07:50
kendari,-3.94,122.5,ID,82.6,75.0,100.0,0.49,2020-11-03 02:07:50
clyde river,70.47,-68.59,CA,17.6,92.0,75.0,8.05,2020-11-03 02:07:51
qasigiannguit,68.82,-51.19,GL,19.4,57.0,100.0,27.51,2020-11-03 02:07:51
hermanus,-34.42,19.23,ZA,64.0,85.0,13.0,8.01,2020-11-03 02:07:51
bethel,41.37,-73.41,US,37.0,47.0,1.0,6.93,2020-11-03 02:05:57
jamestown,42.1,-79.24,US,37.99,59.0,1.0,19.46,2020-11-03 02:03:03
constitucion,-35.33,-72.42,CL,52.02,90.0,66.0,9.69,2020-11-03 02:07:52
waipawa,-41.41,175.52,NZ,55.99,93.0,100.0,10.29,2020-11-03 02:04:20
ilhabela,-23.78,-45.36,BR,65.08,69.0,63.0,4.12,2020-11-03 02:07:52
ust-kan,50.93,84.76,RU,24.57,89.0,85.0,1.86,2020-11-03 02:07:52
roman,46.92,26.92,RO,48.99,93.0,90.0,2.24,2020-11-03 02:07:52
chapais,49.78,-74.85,CA,15.8,100.0,90.0,3.02,2020-11-03 02:03:02
kimbe,-5.55,150.14,PG,85.32,77.0,100.0,4.41,2020-11-03 02:07:53
the valley,18.22,-63.06,AI,82.4,74.0,20.0,10.29,2020-11-03 02:06:35
nikolskoye,59.7,30.79,RU,45.0,81.0,75.0,15.66,2020-11-03 02:07:53
tasiilaq,65.61,-37.64,GL,33.8,40.0,0.0,6.93,2020-11-03 02:07:53
dingle,11.0,122.67,PH,84.97,76.0,100.0,9.26,2020-11-03 02:01:51
abbeville,50.1,1.83,FR,53.6,58.0,0.0,8.05,2020-11-03 02:07:53
portland,45.52,-122.68,US,57.99,73.0,99.0,1.34,2020-11-03 02:00:32
hay river,60.82,-115.8,CA,17.6,85.0,95.0,10.29,2020-11-03 02:07:54
olafsvik,64.89,-23.71,IS,38.7,82.0,100.0,16.75,2020-11-03 02:07:54
ati,13.22,18.34,TD,83.95,23.0,16.0,19.69,2020-11-03 02:03:12
mar del plata,-38.0,-57.56,AR,60.01,87.0,0.0,6.93,2020-11-03 02:07:54
butaritari,3.07,172.79,KI,81.19,75.0,0.0,16.46,2020-11-03 02:07:54
pevek,69.7,170.31,RU,9.59,94.0,100.0,22.48,2020-11-03 02:07:55
sfantu gheorghe,45.87,25.78,RO,44.01,88.0,100.0,0.83,2020-11-03 02:07:55
lashio,22.93,97.75,MM,69.91,94.0,72.0,0.51,2020-11-03 02:07:55
aksu,41.12,80.26,CN,40.59,60.0,100.0,0.47,2020-11-03 02:07:55
mitsamiouli,-11.38,43.28,KM,76.64,81.0,3.0,11.61,2020-11-03 02:07:55
talnakh,69.49,88.4,RU,12.2,85.0,40.0,2.24,2020-11-03 02:01:57
santa catalina,9.33,122.86,PH,86.0,70.0,40.0,6.93,2020-11-03 02:07:56
barrow,71.29,-156.79,US,28.4,68.0,90.0,21.92,2020-11-03 02:07:56
cabinda,-5.55,12.2,AO,77.47,87.0,66.0,5.19,2020-11-03 02:07:56
qaanaaq,77.48,-69.36,GL,9.25,80.0,100.0,5.17,2020-11-03 02:07:56
castro,-24.79,-50.01,BR,51.4,95.0,45.0,7.99,2020-11-03 02:07:54
fokino,42.98,132.4,RU,35.6,43.0,69.0,8.95,2020-11-03 02:07:57
trairi,-3.28,-39.27,BR,79.5,80.0,0.0,10.6,2020-11-03 02:07:26
mount isa,-20.73,139.5,AU,100.4,13.0,0.0,16.11,2020-11-03 02:07:57
provideniya,64.38,-173.3,RU,30.2,68.0,75.0,8.95,2020-11-03 02:07:57
camana,-16.62,-72.71,PE,64.56,80.0,77.0,5.73,2020-11-03 02:07:57
kalmunai,7.42,81.82,LK,80.94,77.0,3.0,6.38,2020-11-03 02:07:58
cape town,-33.93,18.42,ZA,64.99,88.0,0.0,8.05,2020-11-03 02:05:27
harper,4.38,-7.72,LR,77.65,86.0,4.0,4.0,2020-11-03 02:07:58
aklavik,68.22,-135.01,CA,1.4,77.0,100.0,5.82,2020-11-03 02:07:58
merauke,-8.47,140.33,ID,86.45,70.0,100.0,5.61,2020-11-03 02:07:58
palmer,42.16,-72.33,US,33.8,50.0,40.0,6.93,2020-11-03 02:07:59
marawi,8.0,124.29,PH,84.99,65.0,100.0,5.01,2020-11-03 02:03:19
kribi,2.95,9.92,CM,77.32,83.0,41.0,2.68,2020-11-03 02:07:59
port keats,-14.25,129.55,AU,92.37,46.0,59.0,10.51,2020-11-03 02:07:59
iona,26.52,-81.96,US,68.0,68.0,40.0,14.99,2020-11-03 02:07:59
torbay,47.67,-52.73,CA,59.0,100.0,90.0,23.04,2020-11-03 02:07:59
sesheke,-17.48,24.3,ZM,70.65,48.0,99.0,5.73,2020-11-03 02:08:00
bairnsdale,-37.83,147.62,AU,80.01,51.0,6.0,4.0,2020-11-03 02:08:00
havelock,34.88,-76.9,US,45.0,61.0,1.0,4.7,2020-11-03 02:04:52
bathsheba,13.22,-59.52,BB,80.6,78.0,20.0,19.46,2020-11-03 02:08:00
bulgan,48.81,103.53,MN,29.68,79.0,19.0,2.37,2020-11-03 02:08:01
ketchikan,55.34,-131.65,US,48.2,93.0,90.0,5.82,2020-11-03 02:00:00
georgetown,5.41,100.34,MY,80.6,83.0,20.0,3.36,2020-11-03 02:01:16
linxia,35.6,103.21,CN,43.3,58.0,100.0,1.23,2020-11-03 02:08:01
rosario do sul,-30.26,-54.91,BR,57.65,80.0,0.0,10.09,2020-11-03 02:08:01
namioka,40.71,140.59,JP,57.99,70.0,75.0,8.05,2020-11-03 02:08:01
plouzane,48.38,-4.62,FR,50.0,76.0,75.0,23.04,2020-11-03 02:08:02
port elizabeth,-33.92,25.57,ZA,64.4,88.0,0.0,12.75,2020-11-03 02:03:08
lompoc,34.64,-120.46,US,60.8,82.0,1.0,8.05,2020-11-03 02:07:28
aljezur,37.32,-8.8,PT,62.69,86.0,100.0,13.53,2020-11-03 02:08:02
lata,40.16,-8.33,PT,57.99,85.0,84.0,4.0,2020-11-03 02:01:39
kaitangata,-46.28,169.85,NZ,62.01,69.0,0.0,7.0,2020-11-03 02:08:03
warren,39.43,-84.17,US,42.8,41.0,1.0,8.05,2020-11-03 02:08:03
wilmington,34.23,-77.94,US,46.99,70.0,1.0,5.28,2020-11-03 02:03:02
krasnyy chikoy,50.36,108.75,RU,20.52,88.0,58.0,2.8,2020-11-03 02:08:03
san juan,-31.54,-68.54,AR,76.14,22.0,0.0,12.86,2020-11-03 02:08:03
lyuban,52.8,28.0,BY,37.85,90.0,64.0,4.88,2020-11-03 02:08:04
seoul,37.57,126.98,KR,46.4,36.0,1.0,15.9,2020-11-03 02:06:10
victoria,22.29,114.16,HK,75.0,53.0,7.0,5.01,2020-11-03 02:08:04
choix,26.71,-108.32,MX,78.55,27.0,7.0,1.92,2020-11-03 02:08:04
kieta,-6.22,155.63,PG,86.56,65.0,60.0,4.09,2020-11-03 02:08:05
nome,64.5,-165.41,US,23.0,79.0,90.0,3.36,2020-11-03 02:02:15
linares,-35.85,-71.6,CL,55.63,84.0,0.0,4.76,2020-11-03 02:08:05
katsuura,35.13,140.3,JP,66.0,87.0,75.0,4.7,2020-11-03 02:08:05
gamba,-2.65,10.0,GA,74.84,93.0,82.0,3.27,2020-11-03 02:08:05
khandbari,27.37,87.2,NP,70.52,50.0,0.0,1.07,2020-11-03 02:08:05
port moresby,-9.44,147.18,PG,86.0,74.0,40.0,8.05,2020-11-03 02:08:06
valle de guadalupe,21.0,-102.62,MX,54.86,40.0,0.0,11.34,2020-11-03 02:08:06
bandarbeyla,9.49,50.81,SO,77.13,81.0,77.0,17.52,2020-11-03 02:08:06
bam,29.11,58.36,IR,54.57,37.0,0.0,4.12,2020-11-03 02:08:06
prado,-17.34,-39.22,BR,71.62,79.0,89.0,13.35,2020-11-03 02:08:06
angoche,-16.23,39.91,MZ,76.24,82.0,16.0,6.24,2020-11-03 02:08:06
fort morgan,40.25,-103.8,US,57.2,20.0,1.0,5.82,2020-11-03 02:06:35
alyangula,-13.85,136.42,AU,89.6,66.0,40.0,6.93,2020-11-03 02:08:07
narsaq,60.92,-46.05,GL,26.6,53.0,96.0,3.36,2020-11-03 02:01:45
isangel,-19.55,169.27,VU,84.2,74.0,75.0,11.41,2020-11-03 02:08:07
valverde del camino,37.58,-6.75,ES,66.0,69.0,100.0,5.01,2020-11-03 02:08:07
kerouane,9.27,-9.02,GN,71.96,68.0,2.0,3.74,2020-11-03 02:08:08
makakilo city,21.35,-158.09,US,87.8,66.0,40.0,8.05,2020-11-03 02:08:08
ust-nera,64.57,143.2,RU,-11.61,79.0,4.0,4.27,2020-11-03 02:08:08
sakakah,29.97,40.21,SA,68.0,77.0,75.0,9.17,2020-11-03 02:08:08
ocos,14.51,-92.19,GT,78.8,100.0,75.0,5.41,2020-11-03 02:08:08
avera,33.19,-82.53,US,42.8,87.0,1.0,1.86,2020-11-03 02:07:40
petropavlovsk-kamchatskiy,53.05,158.65,RU,42.8,87.0,75.0,11.18,2020-11-03 02:08:09
gushikawa,26.35,127.87,JP,77.0,69.0,75.0,21.92,2020-11-03 02:08:09
high level,58.52,-117.14,CA,21.2,100.0,90.0,3.36,2020-11-03 02:08:09
korla,41.76,86.15,CN,44.01,45.0,0.0,5.01,2020-11-03 02:08:09
nishihara,26.18,127.76,JP,77.0,83.0,90.0,16.11,2020-11-03 02:08:09
ahipara,-35.17,173.17,NZ,70.25,68.0,100.0,13.2,2020-11-03 02:01:51
ola,59.58,151.28,RU,36.81,83.0,100.0,26.08,2020-11-03 02:08:10
fort saint james,54.43,-124.25,CA,41.34,85.0,100.0,5.08,2020-11-03 02:08:10
corby,52.5,-0.69,GB,44.6,70.0,0.0,17.22,2020-11-03 02:08:10
yagodnoye,62.55,149.67,RU,6.22,92.0,100.0,3.98,2020-11-03 02:08:10
saint george,37.1,-113.58,US,68.0,29.0,1.0,1.52,2020-11-03 02:05:08
lasa,46.62,10.7,IT,42.8,100.0,40.0,4.7,2020-11-03 02:03:10
kavieng,-2.57,150.8,PG,85.68,67.0,9.0,0.2,2020-11-03 02:02:05
khorixas,-20.37,14.97,NA,64.76,31.0,0.0,0.98,2020-11-03 02:08:11
syumsi,57.11,51.61,RU,26.46,96.0,0.0,3.96,2020-11-03 02:08:11
biak,-0.91,122.88,ID,83.64,56.0,100.0,3.38,2020-11-03 02:08:11
oktyabrskiy,54.48,53.47,RU,32.67,96.0,0.0,4.18,2020-11-03 02:08:12
djambala,-2.54,14.75,CG,66.13,96.0,100.0,1.23,2020-11-03 02:08:12
lahad datu,5.03,118.33,MY,81.75,85.0,100.0,5.12,2020-11-03 02:08:12
tarancon,40.01,-3.01,ES,57.0,100.0,0.0,4.7,2020-11-03 02:08:12
carballo,43.21,-8.69,ES,53.01,95.0,93.0,3.0,2020-11-03 02:08:12
jibuti,11.5,42.5,DJ,78.8,65.0,40.0,13.29,2020-11-03 02:08:13
haimen,23.19,116.61,CN,71.6,68.0,75.0,6.71,2020-11-03 02:08:13
kutum,14.2,24.67,SD,68.16,35.0,14.0,17.83,2020-11-03 02:08:13
dovers,12.88,-61.18,VC,81.61,77.0,89.0,19.91,2020-11-03 02:08:13
arraial do cabo,-22.97,-42.03,BR,68.23,59.0,11.0,3.98,2020-11-03 02:08:14
karpathos,35.51,27.21,GR,68.0,56.0,91.0,17.22,2020-11-03 02:08:14
gornyatskiy,48.29,40.96,RU,47.41,91.0,23.0,5.26,2020-11-03 02:08:14
broken hill,-31.95,141.43,AU,86.0,16.0,7.0,13.87,2020-11-03 02:08:14
shubarshi,48.59,57.19,KZ,44.04,56.0,0.0,9.4,2020-11-03 02:08:14
belousovka,50.13,82.52,KZ,33.8,97.0,90.0,0.54,2020-11-03 02:08:14
marrakesh,31.63,-8.01,MA,62.6,72.0,0.0,2.24,2020-11-03 02:04:00
aswan,24.09,32.91,EG,66.92,54.0,0.0,9.57,2020-11-03 02:08:15
micomeseng,2.15,10.62,GQ,69.3,98.0,100.0,1.45,2020-11-03 02:08:15
santa rosa,14.31,121.11,PH,90.0,74.0,20.0,5.82,2020-11-03 02:08:15
east london,-33.02,27.91,ZA,65.95,86.0,23.0,12.39,2020-11-03 02:08:15
zhangjiakou,40.81,114.88,CN,37.0,59.0,0.0,11.32,2020-11-03 02:08:15
gazalkent,41.56,69.77,UZ,41.0,38.0,0.0,4.7,2020-11-03 02:08:16
cacoal,-11.44,-61.45,BR,73.76,87.0,76.0,3.22,2020-11-03 02:08:16
lorengau,-2.02,147.27,PG,87.12,63.0,21.0,1.63,2020-11-03 02:08:16
lamu,-2.27,40.9,KE,78.8,83.0,90.0,4.7,2020-11-03 02:08:16
kodiak,57.79,-152.41,US,28.4,46.0,1.0,17.22,2020-11-03 02:08:16
sorland,67.67,12.69,NO,46.15,77.0,100.0,31.05,2020-11-03 02:08:17
sao joao da barra,-21.64,-41.05,BR,67.5,68.0,46.0,9.55,2020-11-03 02:08:17
zhaotong,27.32,103.72,CN,43.5,68.0,97.0,4.85,2020-11-03 02:08:17
vao,-22.67,167.48,NC,75.7,88.0,100.0,11.92,2020-11-03 02:08:17
coos bay,43.37,-124.22,US,50.0,100.0,90.0,5.82,2020-11-03 02:08:17
black river,18.03,-77.85,JM,78.8,88.0,20.0,13.87,2020-11-03 02:08:17
marsala,37.8,12.44,IT,63.0,81.0,0.0,4.7,2020-11-03 02:08:18
indramayu,-6.33,108.32,ID,84.25,65.0,0.0,6.04,2020-11-03 02:08:18
alofi,-19.06,-169.92,NU,78.8,83.0,92.0,20.8,2020-11-03 02:08:18
cockburn town,21.46,-71.14,TC,82.72,81.0,100.0,15.28,2020-11-03 02:08:18
makaleng,-20.9,27.28,BW,65.62,70.0,73.0,5.77,2020-11-03 02:08:18
honolulu,21.31,-157.86,US,87.8,45.0,20.0,13.87,2020-11-03 02:05:52
bilma,18.69,12.92,NE,69.71,24.0,30.0,9.28,2020-11-03 02:08:19
naze,28.37,129.48,JP,73.4,60.0,75.0,21.92,2020-11-03 02:00:44
ban nahin,18.24,104.21,LA,80.01,59.0,5.0,3.69,2020-11-03 02:08:19
nantucket,41.28,-70.1,US,37.99,44.0,1.0,25.28,2020-11-03 02:03:57
gorontalo,0.54,123.06,ID,85.68,58.0,100.0,3.53,2020-11-03 02:08:20
polyarnyy,69.2,33.45,RU,35.6,93.0,75.0,13.42,2020-11-03 02:08:20
soavinandriana,-19.17,46.73,MG,58.96,69.0,0.0,3.56,2020-11-03 02:08:20
muroto,33.28,134.15,JP,66.2,45.0,20.0,12.75,2020-11-03 02:08:20
karratha,-20.74,116.85,AU,86.61,24.0,0.0,3.36,2020-11-03 02:08:20
calafell,41.2,1.57,ES,64.99,100.0,0.0,1.01,2020-11-03 02:08:20
verkhoyansk,67.54,133.38,RU,-11.85,82.0,53.0,2.06,2020-11-03 02:08:21
awbari,26.59,12.78,LY,58.96,58.0,0.0,6.49,2020-11-03 02:08:21
salalah,17.02,54.09,OM,71.6,43.0,0.0,4.7,2020-11-03 02:08:21
redlands,34.06,-117.18,US,82.4,26.0,20.0,9.17,2020-11-03 02:08:21
cabedelo,-6.98,-34.83,BR,78.8,83.0,20.0,6.93,2020-11-03 02:08:21
geilo,60.53,8.21,NO,32.0,88.0,45.0,7.0,2020-11-03 02:08:22
koslan,63.46,48.9,RU,28.87,95.0,31.0,10.38,2020-11-03 02:08:22
zambezi,-13.54,23.1,ZM,69.82,47.0,80.0,1.68,2020-11-03 02:08:22
almaznyy,48.04,40.05,RU,50.0,93.0,40.0,8.95,2020-11-03 02:08:22
vanavara,60.34,102.28,RU,18.97,97.0,83.0,8.12,2020-11-03 02:08:22
lozovo,41.78,21.91,MK,50.0,93.0,75.0,1.12,2020-11-03 02:08:22
augusto correa,-1.02,-46.63,BR,77.9,86.0,0.0,3.89,2020-11-03 02:08:23
nouakchott,18.09,-15.98,MR,80.6,18.0,100.0,8.05,2020-11-03 02:08:23
sibolga,1.74,98.78,ID,83.75,62.0,100.0,1.36,2020-11-03 02:08:23
tinskoy,56.15,96.92,RU,28.29,95.0,64.0,6.82,2020-11-03 02:08:24
gravdal,68.12,13.5,NO,47.25,81.0,86.0,29.48,2020-11-03 02:08:24
candolim,15.52,73.76,IN,75.2,100.0,40.0,3.36,2020-11-03 02:00:10
yerbogachen,61.28,108.01,RU,27.01,97.0,98.0,10.09,2020-11-03 02:08:24
