City,Lat,Lng,Country,Temperature_max(F),Humidity(%),Cloudness(%),Wind speed(m/h),Date
vila franca do campo,37.72,-25.43,PT,60.8,72.0,75.0,13.87,2020-11-03 02:03:23
ferkessedougou,9.6,-5.2,CI,75.2,66.0,11.0,3.27,2020-11-03 02:08:24
bertoua,4.58,13.68,CM,68.07,93.0,93.0,2.1,2020-11-03 02:08:25
san carlos del zulia,9.0,-71.91,VE,77.13,88.0,100.0,2.91,2020-11-03 02:08:25
ballitoville,-29.54,31.21,ZA,64.4,88.0,0.0,5.82,2020-11-03 02:08:25
kuching,1.55,110.33,MY,80.6,83.0,40.0,2.24,2020-11-03 02:08:25
san cristobal,7.77,-72.22,VE,67.77,92.0,99.0,1.95,2020-11-03 02:08:25
chazuta,-6.57,-76.14,PE,76.64,62.0,100.0,0.94,2020-11-03 02:08:25
mareeba,-17.0,145.43,AU,87.01,51.0,5.0,11.01,2020-11-03 02:08:26
griffith,41.53,-87.42,US,45.0,45.0,1.0,11.41,2020-11-03 02:08:26
itapirapua,-15.82,-50.61,BR,73.4,84.0,88.0,2.06,2020-11-03 02:08:26
maceio,-9.67,-35.74,BR,77.0,88.0,0.0,4.7,2020-11-03 02:02:08
ugoofaaru,5.67,73.0,MV,82.6,71.0,10.0,5.75,2020-11-03 02:08:26
severo-kurilsk,50.68,156.12,RU,43.77,88.0,100.0,29.51,2020-11-03 02:01:32
havre-saint-pierre,50.23,-63.6,CA,33.8,89.0,90.0,18.34,2020-11-03 02:03:10
koungou,-12.73,45.2,YT,73.4,83.0,20.0,6.4,2020-11-03 02:08:27
kruisfontein,-34.0,24.73,ZA,55.0,94.0,1.0,1.01,2020-11-03 02:08:27
esqueda,30.72,-109.58,MX,62.4,33.0,75.0,4.5,2020-11-03 02:08:27
beringovskiy,63.05,179.32,RU,28.62,89.0,100.0,8.25,2020-11-03 02:08:27
miri,4.41,114.01,MY,84.2,74.0,20.0,6.93,2020-11-03 02:08:28
geraldton,-28.77,114.6,AU,69.8,73.0,90.0,11.41,2020-11-03 02:08:28
abu kamal,34.45,40.92,SY,62.83,41.0,28.0,7.76,2020-11-03 02:08:28
cabo san lucas,22.89,-109.91,MX,80.6,69.0,20.0,5.82,2020-11-03 02:07:48
ribeira grande,38.52,-28.7,PT,62.37,65.0,99.0,16.82,2020-11-03 02:08:28
san policarpo,12.18,125.51,PH,84.96,69.0,100.0,3.98,2020-11-03 02:08:29
saint-francois,46.42,3.91,FR,53.6,81.0,90.0,6.93,2020-11-03 02:08:29
moose factory,51.26,-80.61,CA,21.2,85.0,90.0,14.99,2020-11-03 02:08:29
shingu,33.73,135.98,JP,64.4,52.0,20.0,16.11,2020-11-03 02:08:29
longyearbyen,78.22,15.64,SJ,32.0,95.0,75.0,39.15,2020-11-03 02:08:29
souillac,-20.52,57.52,MU,71.6,73.0,75.0,10.29,2020-11-03 02:08:29
tarrafal,15.28,-23.77,CV,78.8,54.0,0.0,10.29,2020-11-03 02:08:30
padang,-0.95,100.35,ID,82.47,66.0,99.0,1.45,2020-11-03 02:02:27
alenquer,-1.94,-54.74,BR,78.8,88.0,75.0,2.55,2020-11-03 02:07:27
togur,58.36,82.83,RU,29.28,99.0,100.0,5.57,2020-11-03 02:08:30
saint anthony,45.02,-93.22,US,46.99,56.0,1.0,4.43,2020-11-03 02:08:30
pudozh,61.81,36.53,RU,42.58,85.0,100.0,15.9,2020-11-03 02:08:31
sivagiri,9.33,77.43,IN,79.72,72.0,10.0,2.17,2020-11-03 02:08:31
sotnikovo,51.88,107.48,RU,12.2,72.0,96.0,2.24,2020-11-03 02:08:31
asau,46.43,26.4,RO,48.0,91.0,100.0,4.07,2020-11-03 02:08:31
shalyhyne,51.57,34.12,UA,46.11,93.0,100.0,4.68,2020-11-03 02:08:31
chongqing,29.56,106.55,CN,60.01,93.0,20.0,2.24,2020-11-03 02:08:31
te anau,-45.42,167.72,NZ,67.51,39.0,5.0,2.8,2020-11-03 02:08:32
mount gambier,-37.83,140.77,AU,84.2,32.0,100.0,18.34,2020-11-03 02:08:32
terrace bay,48.78,-87.1,CA,37.4,64.0,6.0,4.7,2020-11-03 02:08:32
batsfjord,70.63,29.72,NO,42.44,83.0,70.0,19.82,2020-11-03 02:08:32
chokurdakh,70.63,147.92,RU,-13.09,87.0,30.0,9.8,2020-11-03 02:08:32
faanui,-16.48,-151.75,PF,80.01,78.0,1.0,17.87,2020-11-03 02:08:32
acapulco,16.86,-99.89,MX,82.4,88.0,20.0,8.05,2020-11-03 02:08:33
santa cruz,-17.8,-63.17,BO,75.2,50.0,20.0,9.17,2020-11-03 02:07:26
soyo,-6.13,12.37,AO,77.59,87.0,37.0,6.26,2020-11-03 02:08:33
codrington,-38.27,141.97,AU,76.39,65.0,100.0,18.05,2020-11-03 02:08:33
lebu,-37.62,-73.65,CL,50.83,92.0,21.0,11.34,2020-11-03 02:08:33
izumo,35.37,132.77,JP,59.0,82.0,20.0,5.82,2020-11-03 02:08:33
llandrindod wells,52.24,-3.38,GB,45.0,72.0,84.0,1.99,2020-11-03 02:08:34
logrono,42.47,-2.45,ES,57.2,76.0,90.0,4.7,2020-11-03 02:08:34
nuuk,64.18,-51.72,GL,26.6,49.0,100.0,16.11,2020-11-03 02:08:34
ponta do sol,32.67,-17.1,PT,69.8,73.0,75.0,16.11,2020-11-03 02:02:10
xai-xai,-25.05,33.64,MZ,67.57,86.0,0.0,5.32,2020-11-03 02:08:34
aykhal,66.0,111.5,RU,6.8,84.0,90.0,6.71,2020-11-03 02:08:34
meulaboh,4.14,96.13,ID,79.41,87.0,99.0,4.03,2020-11-03 02:05:48
plaster rock,46.91,-67.39,CA,26.6,68.0,75.0,12.75,2020-11-03 02:08:35
yatou,37.15,122.38,CN,48.09,53.0,71.0,14.27,2020-11-03 02:08:35
lenine,45.3,35.78,UA,51.03,78.0,43.0,3.11,2020-11-03 02:08:35
kawhia,-38.07,174.82,NZ,72.0,70.0,100.0,11.99,2020-11-03 02:08:35
epe,6.58,3.98,NG,75.79,91.0,68.0,3.04,2020-11-03 02:08:36
waddan,29.16,16.14,LY,58.35,76.0,0.0,7.05,2020-11-03 02:08:36
chamonix-mont-blanc,45.92,6.87,FR,51.01,92.0,70.0,3.15,2020-11-03 02:08:36
lodwar,3.12,35.6,KE,81.43,55.0,94.0,14.05,2020-11-03 02:08:36
tateyama,34.98,139.87,JP,66.0,93.0,40.0,8.05,2020-11-03 02:08:37
tacuarembo,-31.73,-55.98,UY,54.14,90.0,69.0,5.84,2020-11-03 02:08:37
sault sainte marie,46.52,-84.33,CA,44.6,65.0,1.0,17.22,2020-11-03 02:08:37
kushima,31.46,131.23,JP,64.4,59.0,20.0,6.93,2020-11-03 02:08:37
ambilobe,-13.2,49.05,MG,67.32,78.0,0.0,4.56,2020-11-03 02:08:37
marigot,18.07,-63.08,MF,82.4,74.0,20.0,10.29,2020-11-03 02:08:38
umea,63.83,20.26,SE,39.2,100.0,0.0,4.7,2020-11-03 02:08:38
sitka,57.05,-135.33,US,42.8,60.0,90.0,8.05,2020-11-03 02:08:38
zyryanka,65.75,150.85,RU,-2.97,90.0,0.0,7.38,2020-11-03 02:08:38
gizo,-8.1,156.84,SB,85.69,69.0,54.0,2.91,2020-11-03 02:08:38
bardiyah,31.76,25.09,LY,66.79,70.0,18.0,10.58,2020-11-03 02:08:39
merrill,45.18,-89.68,US,39.2,60.0,1.0,4.7,2020-11-03 02:08:39
balkanabat,39.51,54.37,TM,60.51,39.0,97.0,0.89,2020-11-03 02:08:39
prince rupert,54.32,-130.32,CA,53.6,87.0,90.0,14.99,2020-11-03 02:08:39
guerrero negro,27.98,-114.06,MX,70.05,73.0,3.0,13.47,2020-11-03 02:08:40
moissala,8.34,17.77,TD,74.75,72.0,95.0,2.37,2020-11-03 02:08:40
caravelas,-17.71,-39.25,BR,72.14,74.0,100.0,13.15,2020-11-03 02:08:40
jamsa,61.86,25.19,FI,51.8,100.0,90.0,14.99,2020-11-03 02:08:41
kidero,42.19,45.96,RU,41.59,83.0,71.0,3.38,2020-11-03 02:08:41
abu dhabi,24.47,54.37,AE,75.2,78.0,0.0,2.24,2020-11-03 02:06:09
wellington,-41.29,174.78,NZ,55.99,93.0,100.0,10.29,2020-11-03 02:05:02
nizhnevartovsk,60.93,76.55,RU,24.8,92.0,90.0,4.47,2020-11-03 02:08:42
andros town,24.7,-77.77,BS,78.8,69.0,75.0,23.04,2020-11-03 02:08:42
hinton,53.4,-117.59,CA,48.2,39.0,86.0,4.7,2020-11-03 02:08:42
mandalgovi,45.76,106.27,MN,29.21,73.0,1.0,9.89,2020-11-03 02:08:42
axim,4.87,-2.24,GH,77.23,88.0,64.0,3.78,2020-11-03 02:08:42
pangnirtung,66.15,-65.71,CA,17.02,83.0,100.0,12.59,2020-11-03 02:08:43
gusau,12.16,6.66,NG,74.35,32.0,100.0,6.89,2020-11-03 02:08:43
amahai,-3.33,128.92,ID,80.46,78.0,100.0,1.32,2020-11-03 02:08:43
ranong,9.97,98.63,TH,77.0,100.0,40.0,3.8,2020-11-03 02:07:30
kupang,-10.17,123.58,ID,90.07,45.0,94.0,1.92,2020-11-03 02:08:43
saint-louis,16.33,-15.0,SN,86.11,14.0,100.0,8.86,2020-11-03 02:08:43
tecoanapa,16.52,-98.75,MX,80.73,69.0,0.0,2.59,2020-11-03 02:08:44
coihueco,-36.62,-71.83,CL,55.4,87.0,0.0,5.82,2020-11-03 02:08:44
khartoum,15.55,32.53,SD,82.4,24.0,0.0,12.75,2020-11-03 02:07:30
poum,-20.23,164.02,NC,77.74,76.0,100.0,7.58,2020-11-03 02:08:44
trinidad,-14.83,-64.9,BO,78.49,45.0,7.0,2.37,2020-11-03 02:08:44
bengkulu,-3.8,102.27,ID,78.19,83.0,98.0,3.09,2020-11-03 02:08:45
flin flon,54.77,-101.86,CA,35.33,96.0,100.0,9.19,2020-11-03 02:08:45
shirgaon,19.7,72.7,IN,79.32,62.0,12.0,5.97,2020-11-03 02:08:45
sola,-13.88,167.55,VU,80.92,77.0,100.0,6.33,2020-11-03 02:08:45
wad rawah,15.16,33.14,SD,79.66,35.0,0.0,16.31,2020-11-03 02:08:46
dewas,22.97,76.07,IN,60.8,63.0,0.0,3.87,2020-11-03 02:08:46
soc trang,9.6,105.98,VN,82.4,88.0,40.0,1.12,2020-11-03 02:08:46
umm kaddadah,13.6,26.69,SD,77.52,27.0,0.0,24.72,2020-11-03 02:02:46
oranjemund,-28.55,16.43,NA,61.05,88.0,90.0,4.54,2020-11-03 02:08:46
pacific grove,36.62,-121.92,US,62.01,82.0,1.0,6.51,2020-11-03 02:04:13
areka,7.07,37.7,ET,55.53,53.0,1.0,6.22,2020-11-03 02:08:47
rawson,-43.3,-65.1,AR,75.11,29.0,100.0,20.02,2020-11-03 02:06:18
puerto ayacucho,5.66,-67.62,VE,76.51,91.0,94.0,3.56,2020-11-03 02:08:47
katima mulilo,-17.5,24.27,NA,70.43,48.0,98.0,5.46,2020-11-03 02:08:47
klaksvik,62.23,-6.59,FO,44.6,75.0,0.0,20.8,2020-11-03 02:02:20
dubbo,-32.25,148.62,AU,75.2,38.0,7.0,9.17,2020-11-03 02:07:36
rio verde de mato grosso,-18.92,-54.84,BR,74.73,46.0,7.0,6.02,2020-11-03 02:08:48
bahia blanca,-38.72,-62.27,AR,69.98,50.0,61.0,15.21,2020-11-03 02:08:48
chiang rai,19.92,99.92,TH,81.0,100.0,20.0,1.12,2020-11-03 02:08:48
linguere,15.4,-15.12,SN,81.73,17.0,99.0,5.82,2020-11-03 02:08:48
port hardy,50.7,-127.42,CA,50.0,100.0,90.0,24.16,2020-11-03 02:08:48
college,64.86,-147.8,US,-11.0,76.0,20.0,1.77,2020-11-03 02:03:09
itarema,-2.92,-39.92,BR,79.27,83.0,2.0,10.87,2020-11-03 02:08:49
yeniseysk,58.45,92.17,RU,29.75,97.0,100.0,6.71,2020-11-03 02:08:49
pachmarhi,22.47,78.43,IN,60.71,58.0,0.0,1.92,2020-11-03 02:08:49
tilichiki,60.47,166.1,RU,32.76,98.0,100.0,3.67,2020-11-03 02:08:49
sao paulo de olivenca,-3.38,-68.87,BR,74.5,94.0,99.0,0.98,2020-11-03 02:08:49
watsa,3.04,29.54,CD,63.3,99.0,91.0,1.77,2020-11-03 02:08:49
tenkodogo,11.78,-0.37,BF,78.28,28.0,69.0,7.2,2020-11-03 02:08:50
ancud,-41.87,-73.82,CL,53.01,93.0,75.0,3.36,2020-11-03 02:08:50
chipinge,-20.19,32.62,ZW,59.97,91.0,89.0,2.26,2020-11-03 02:08:50
bowen,-20.02,148.23,AU,84.2,54.0,40.0,19.46,2020-11-03 02:08:50
teguise,29.06,-13.56,ES,68.0,77.0,20.0,3.36,2020-11-03 02:08:50
belaya gora,68.53,146.42,RU,-9.24,82.0,0.0,7.0,2020-11-03 02:08:51
vostok,46.49,135.88,RU,21.27,93.0,100.0,10.38,2020-11-03 02:08:51
curup,-3.47,102.53,ID,71.76,87.0,100.0,0.87,2020-11-03 02:08:05
dwarka,22.24,68.97,IN,79.09,49.0,0.0,10.98,2020-11-03 02:08:51
boca do acre,-8.75,-67.4,BR,73.51,91.0,100.0,2.01,2020-11-03 02:08:51
vestmanna,62.16,-7.17,FO,44.6,75.0,16.0,20.8,2020-11-03 02:08:51
fontenay-le-comte,46.58,-1.0,FR,53.6,93.0,20.0,3.36,2020-11-03 02:08:52
juba,4.85,31.58,SS,73.47,77.0,7.0,1.7,2020-11-03 02:07:43
namibe,-15.2,12.15,AO,68.04,79.0,99.0,6.58,2020-11-03 02:08:52
lufkin,31.34,-94.73,US,51.8,71.0,1.0,3.36,2020-11-03 02:05:01
callaway,30.15,-85.57,US,59.0,38.0,1.0,9.17,2020-11-03 02:08:52
moerai,-22.43,-151.33,PF,77.09,84.0,100.0,12.84,2020-11-03 02:08:52
hegra,63.46,11.11,NO,46.4,70.0,75.0,13.87,2020-11-03 02:08:53
jutai,-5.18,-68.9,BR,75.15,90.0,99.0,1.05,2020-11-03 02:08:53
labuan,5.28,115.24,MY,82.4,78.0,20.0,4.7,2020-11-03 02:08:53
badou,7.58,0.6,TG,72.52,83.0,85.0,1.5,2020-11-03 02:08:53
george,-33.96,22.46,ZA,59.0,100.0,90.0,4.7,2020-11-03 02:08:53
muros,42.78,-9.06,ES,48.0,95.0,59.0,1.01,2020-11-03 02:08:54
aitape,-3.14,142.35,PG,88.56,57.0,100.0,6.62,2020-11-03 02:08:54
razole,16.48,81.83,IN,80.01,78.0,40.0,2.33,2020-11-03 02:08:54
tungi,23.89,90.41,BD,80.6,74.0,40.0,2.21,2020-11-03 02:08:54
hofn,64.25,-15.21,IS,43.29,61.0,99.0,9.66,2020-11-03 02:08:54
roma,43.21,-75.46,US,36.0,80.0,90.0,3.36,2020-11-03 02:06:19
evensk,61.95,159.23,RU,27.66,97.0,100.0,5.79,2020-11-03 02:02:56
mende,44.67,3.5,FR,47.57,98.0,64.0,1.79,2020-11-03 02:08:55
luau,-10.71,22.22,AO,64.31,93.0,63.0,2.66,2020-11-03 02:08:55
flinders,-34.58,150.86,AU,73.99,62.0,0.0,4.0,2020-11-03 02:08:55
vinh,18.67,105.67,VN,68.77,80.0,100.0,6.85,2020-11-03 02:08:55
beloha,-25.17,45.05,MG,67.15,82.0,0.0,11.61,2020-11-03 02:08:55
nicoya,10.15,-85.45,CR,77.0,100.0,75.0,3.36,2020-11-03 02:08:56
ngunguru,-35.62,174.5,NZ,71.01,82.0,100.0,11.99,2020-11-03 02:08:56
zasheyek,67.41,32.55,RU,40.71,94.0,100.0,11.32,2020-11-03 02:08:56
narasaraopet,16.25,80.07,IN,75.45,82.0,5.0,5.35,2020-11-03 02:08:56
tabou,4.42,-7.35,CI,77.67,87.0,0.0,4.03,2020-11-03 02:08:56
buala,-8.14,159.59,SB,79.81,82.0,100.0,4.97,2020-11-03 02:08:56
dicabisagan,17.08,122.42,PH,77.92,86.0,100.0,8.93,2020-11-03 02:08:56
tucuman,-26.82,-65.22,AR,73.4,43.0,0.0,5.82,2020-11-03 02:08:57
tocopilla,-22.09,-70.2,CL,61.48,57.0,19.0,6.29,2020-11-03 02:08:57
nalut,30.33,10.85,LY,56.7,74.0,57.0,9.42,2020-11-03 02:08:57
gavle,60.67,17.14,SE,48.99,84.0,36.0,5.99,2020-11-03 02:08:57
okhotsk,59.38,143.3,RU,32.07,95.0,100.0,27.13,2020-11-03 02:08:57
flagstaff,35.2,-111.65,US,57.2,30.0,20.0,3.36,2020-11-03 02:08:57
sibiti,-3.68,13.35,CG,69.33,99.0,90.0,1.86,2020-11-03 02:08:58
safaga,26.73,33.94,EG,73.4,53.0,0.0,11.41,2020-11-03 02:08:58
carutapera,-1.2,-46.02,BR,78.66,84.0,0.0,6.02,2020-11-03 02:08:58
vestmannaeyjar,63.44,-20.27,IS,43.0,72.0,100.0,31.09,2020-11-03 02:08:58
isiro,2.77,27.62,CD,66.25,98.0,100.0,1.68,2020-11-03 02:08:59
marienburg,54.04,19.03,PL,57.99,100.0,100.0,8.75,2020-11-03 02:08:59
talcahuano,-36.72,-73.12,CL,55.4,87.0,90.0,3.36,2020-11-03 02:08:59
qaqortoq,60.72,-46.03,GL,26.6,53.0,92.0,3.36,2020-11-03 02:08:59
fairbanks,64.84,-147.72,US,-11.2,76.0,40.0,1.83,2020-11-03 02:05:32
surt,31.21,16.59,LY,67.75,63.0,0.0,3.85,2020-11-03 02:08:59
nosy varika,-20.58,48.53,MG,70.07,72.0,100.0,2.17,2020-11-03 02:09:00
kayerkan,69.35,87.76,RU,12.2,85.0,40.0,2.24,2020-11-03 02:09:00
laiyang,36.98,120.71,CN,49.86,42.0,0.0,22.08,2020-11-03 02:09:00
ambovombe,-25.17,46.08,MG,65.5,86.0,0.0,7.23,2020-11-03 02:09:00
tura,25.52,90.22,IN,75.54,84.0,97.0,1.39,2020-11-03 02:09:00
tahta,26.77,31.5,EG,69.8,63.0,0.0,9.17,2020-11-03 02:09:01
preobrazheniye,42.9,133.91,RU,38.35,64.0,0.0,15.1,2020-11-03 02:09:01
viedma,-40.81,-63.0,AR,66.99,54.0,100.0,3.0,2020-11-03 01:59:34
zenzeli,45.92,47.05,RU,53.85,42.0,100.0,10.63,2020-11-03 02:09:01
ayan,56.45,138.17,RU,16.0,95.0,51.0,25.19,2020-11-03 02:09:01
siilinjarvi,63.08,27.67,FI,46.4,93.0,90.0,24.16,2020-11-03 02:09:02
tutoia,-2.76,-42.27,BR,80.04,83.0,12.0,8.12,2020-11-03 02:09:02
ruwi,23.6,58.55,OM,62.6,67.0,0.0,2.24,2020-11-03 02:09:02
luanda,-8.84,13.23,AO,78.8,83.0,75.0,5.82,2020-11-03 02:08:00
tiznit,29.58,-9.5,MA,65.53,30.0,0.0,1.52,2020-11-03 02:09:03
plettenberg bay,-34.05,23.37,ZA,63.34,83.0,0.0,2.95,2020-11-03 02:09:03
kirovskiy,45.09,133.51,RU,28.65,88.0,100.0,12.35,2020-11-03 02:09:03
tela,15.78,-87.45,HN,75.2,94.0,90.0,2.24,2020-11-03 02:09:03
pangai,-19.8,-174.35,TO,78.8,88.0,75.0,19.46,2020-11-03 02:09:03
puerto escondido,15.85,-97.07,MX,80.6,69.0,75.0,3.67,2020-11-03 02:04:55
fortuna,40.6,-124.16,US,50.0,100.0,90.0,6.93,2020-11-03 02:09:04
henties bay,-22.12,14.28,NA,57.99,91.0,0.0,1.01,2020-11-03 02:09:04
ouadda,8.08,22.4,CF,69.4,77.0,86.0,2.75,2020-11-03 02:09:04
vanimo,-2.67,141.3,PG,89.33,58.0,91.0,6.85,2020-11-03 02:02:14
santa catarina de tepehuanes,25.35,-105.73,MX,53.8,54.0,0.0,4.03,2020-11-03 02:09:05
cabra,37.47,-4.44,ES,51.8,81.0,0.0,1.12,2020-11-03 02:09:05
calamar,10.25,-74.91,CO,80.6,88.0,40.0,4.65,2020-11-03 02:09:05
gwadar,25.12,62.33,PK,71.08,40.0,0.0,4.94,2020-11-03 02:09:05
natal,-5.79,-35.21,BR,78.8,78.0,40.0,9.17,2020-11-03 02:06:11
yar-sale,66.83,70.83,RU,18.25,97.0,26.0,8.81,2020-11-03 02:01:19
sorong,-0.88,131.25,ID,82.36,75.0,100.0,3.38,2020-11-03 02:09:06
imphal,24.82,93.95,IN,68.0,100.0,75.0,1.03,2020-11-03 02:09:06
solnechnyy,50.72,136.63,RU,31.19,89.0,100.0,5.17,2020-11-03 02:09:06
genhe,50.78,121.52,CN,15.19,82.0,0.0,8.88,2020-11-03 02:09:06
goure,13.98,10.27,NE,75.99,28.0,88.0,3.0,2020-11-03 02:09:06
alexandria,31.22,29.96,EG,71.6,56.0,40.0,9.17,2020-11-03 02:06:16
pelym,61.01,62.0,RU,25.03,96.0,19.0,4.56,2020-11-03 02:09:07
hlotse,-28.87,28.05,LS,53.87,59.0,0.0,3.18,2020-11-03 02:09:07
matagami,49.75,-77.63,CA,23.0,92.0,90.0,12.75,2020-11-03 02:07:23
likasi,-10.98,26.73,CD,62.28,80.0,0.0,2.37,2020-11-03 02:09:07
xiongyue,40.18,122.12,CN,38.41,65.0,0.0,24.49,2020-11-03 02:09:08
never,46.99,3.16,FR,53.01,93.0,100.0,4.92,2020-11-03 02:07:49
izhma,65.01,53.91,RU,29.82,90.0,30.0,11.07,2020-11-03 02:09:08
sahuaripa,29.05,-109.23,MX,72.37,29.0,0.0,0.54,2020-11-03 02:09:08
zavetnoye,47.12,43.89,RU,53.44,87.0,100.0,5.46,2020-11-03 02:09:08
stornoway,58.21,-6.39,GB,37.4,93.0,78.0,3.36,2020-11-03 02:09:09
am timan,11.03,20.28,TD,77.68,39.0,51.0,3.09,2020-11-03 02:09:09
lufilufi,-13.87,-171.6,WS,91.4,66.0,75.0,13.87,2020-11-03 02:09:09
akdepe,42.06,59.38,TM,39.2,44.0,0.0,9.17,2020-11-03 02:09:09
kanadey,53.17,47.53,RU,37.83,88.0,66.0,5.39,2020-11-03 02:09:09
novyy urengoy,66.08,76.63,RU,17.15,96.0,94.0,11.61,2020-11-03 02:09:10
iskateley,67.68,53.15,RU,29.39,91.0,88.0,13.18,2020-11-03 02:09:10
rio gallegos,-51.62,-69.22,AR,55.4,76.0,0.0,3.36,2020-11-03 02:09:10
lumsden,50.65,-104.87,CA,44.6,45.0,20.0,9.17,2020-11-03 02:09:10
bria,6.54,21.99,CF,69.31,93.0,98.0,0.67,2020-11-03 02:09:10
sibu,2.3,111.82,MY,82.4,74.0,20.0,5.82,2020-11-03 02:04:40
taltal,-25.4,-70.48,CL,59.25,60.0,7.0,4.97,2020-11-03 02:09:11
pasighat,28.07,95.33,IN,74.43,81.0,21.0,0.09,2020-11-03 02:09:11
leh,34.17,77.58,IN,30.13,66.0,32.0,1.88,2020-11-03 02:08:16
kuytun,54.34,101.5,RU,28.53,97.0,100.0,4.65,2020-11-03 02:09:11
port blair,11.67,92.75,IN,82.56,74.0,37.0,6.62,2020-11-03 02:09:12
jacqueville,5.21,-4.41,CI,77.0,94.0,40.0,2.24,2020-11-03 02:09:12
kazachinskoye,57.7,93.28,RU,30.13,97.0,100.0,6.76,2020-11-03 02:09:12
sabla,12.75,4.71,NG,77.74,30.0,38.0,8.77,2020-11-03 02:09:12
thinadhoo,0.53,72.93,MV,83.08,72.0,84.0,6.04,2020-11-03 02:09:12
aanekoski,62.69,25.82,FI,50.0,93.0,90.0,16.11,2020-11-03 02:09:13
totness,5.88,-56.32,SR,76.68,90.0,99.0,9.64,2020-11-03 02:09:13
jiblah,13.92,44.15,YE,52.93,42.0,0.0,2.1,2020-11-03 02:09:13
komsomolskiy,40.43,71.72,UZ,41.0,30.0,0.0,9.17,2020-11-03 02:09:13
goundam,16.41,-3.67,ML,80.46,16.0,99.0,9.6,2020-11-03 02:09:13
filadelfia,39.95,-75.16,US,41.0,48.0,1.0,10.29,2020-11-03 02:08:09
pyu,18.48,96.43,MM,80.47,83.0,15.0,2.35,2020-11-03 02:09:14
nabire,-3.37,135.48,ID,87.71,60.0,95.0,4.54,2020-11-03 02:09:14
forbes,-33.38,148.02,AU,84.0,52.0,100.0,5.99,2020-11-03 02:09:14
tyup,42.73,78.36,KG,35.24,71.0,80.0,1.95,2020-11-03 02:09:14
baracoa,20.35,-74.5,CU,79.32,82.0,100.0,4.79,2020-11-03 02:09:14
talara,-4.58,-81.27,PE,62.8,90.0,70.0,12.84,2020-11-03 02:09:15
gimli,50.63,-96.99,CA,46.4,86.0,24.0,8.05,2020-11-03 02:09:15
labuhan,-6.88,112.21,ID,84.16,69.0,100.0,5.44,2020-11-03 02:09:15
sandane,61.77,6.21,NO,42.01,96.0,100.0,1.99,2020-11-03 02:09:15
hovd,48.01,91.64,MN,29.8,76.0,0.0,2.44,2020-11-03 02:09:15
cedar falls,42.53,-92.45,US,48.2,45.0,1.0,5.82,2020-11-03 02:07:32
roald,62.58,6.13,NO,46.4,81.0,100.0,12.75,2020-11-03 02:09:16
djibo,14.1,-1.63,BF,77.81,18.0,0.0,6.42,2020-11-03 02:09:16
south venice,27.05,-82.42,US,66.2,63.0,90.0,13.87,2020-11-03 02:09:16
bijie,27.31,105.29,CN,46.87,73.0,100.0,2.98,2020-11-03 02:09:16
goderich,43.75,-81.72,CA,44.6,65.0,97.0,23.04,2020-11-03 02:09:16
wajir,1.75,40.06,KE,74.3,86.0,100.0,10.02,2020-11-03 02:09:16
hamadan,34.8,48.51,IR,45.86,46.0,58.0,1.99,2020-11-03 02:09:17
alice springs,-23.7,133.88,AU,95.0,9.0,0.0,6.93,2020-11-03 02:07:30
sambava,-14.27,50.17,MG,69.46,80.0,95.0,6.71,2020-11-03 02:09:17
nanding,36.75,118.06,CN,49.95,40.0,0.0,3.42,2020-11-03 02:09:17
alta floresta,-9.88,-56.09,BR,70.88,94.0,70.0,1.14,2020-11-03 02:09:17
